P0	P1	P2	P3
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000
2,529217	0,000000	0,000000	0,000000
2,539742	0,060676	0,044213	0,001470
2,546452	0,113180	0,093754	0,004538
2,549481	0,163233	0,142888	0,009138
2,549030	0,211659	0,190755	0,015176
2,545305	0,258566	0,237211	0,022557
2,538501	0,303961	0,282224	0,031190
2,528811	0,347838	0,325781	0,040988
2,516442	0,390194	0,367875	0,051856
2,501573	0,431028	0,408502	0,063712
2,484383	0,470344	0,447661	0,076476
2,465050	0,508147	0,485357	0,090067
2,443731	0,544445	0,521595	0,104414
2,420613	0,579251	0,556385	0,119433
2,395792	0,612578	0,589737	0,135081
2,369485	0,644442	0,621666	0,151262
2,341860	0,674862	0,652188	0,167903
2,312983	0,703860	0,681320	0,184972
2,283007	0,731457	0,709084	0,202404
2,252138	0,757677	0,735500	0,220109
2,220415	0,782547	0,760594	0,238068
2,187946	0,806093	0,784390	0,256236
2,154937	0,828343	0,806913	0,274524
2,121357	0,849329	0,828192	0,292945
2,087437	0,869077	0,848255	0,311400
2,053166	0,887622	0,867131	0,329893
2,018733	0,904994	0,884851	0,348346
1,984215	0,921225	0,901445	0,366726
1,949722	0,936352	0,916945	0,384987
1,915172	0,950407	0,931385	0,403164
1,880827	0,963423	0,944797	0,421147
1,846700	0,975436	0,957212	0,438933
1,812703	0,986480	0,968666	0,456558
1,779133	0,996588	0,979190	0,473900
1,745954	1,005797	0,988818	0,490975
1,713144	1,014141	0,997584	0,507794
1,680780	1,021652	1,005521	0,524326
1,648825	1,028366	1,012661	0,540588
1,617420	1,034313	1,019036	0,556522
1,586709	1,039527	1,024677	0,572070
1,556510	1,044044	1,029618	0,587311
1,527132	1,047894	1,033890	0,602116
1,498442	1,051112	1,037526	0,616544
1,470325	1,053730	1,040557	0,630646
1,442883	1,055777	1,043013	0,644381
1,416248	1,057280	1,044922	0,657694
1,390437	1,058274	1,046314	0,670582
1,365192	1,058787	1,047219	0,683155
1,340748	1,058843	1,047662	0,695318
1,317372	1,058472	1,047671	0,706958
1,294608	1,057708	1,047275	0,718272
1,272597	1,056570	1,046500	0,729203
1,251452	1,055085	1,045370	0,739704
1,231169	1,053278	1,043910	0,749780
1,211732	1,051176	1,042144	0,759441
1,192966	1,048803	1,040096	0,768762
1,174955	1,046177	1,037789	0,777710
1,157793	1,043320	1,035241	0,786249
1,141296	1,040255	1,032476	0,794456
1,125685	1,036999	1,029511	0,802242
1,110806	1,033576	1,026368	0,809674
1,096539	1,030001	1,023064	0,816804
1,083096	1,026291	1,019616	0,823546
1,070282	1,022465	1,016042	0,829982
1,058376	1,018536	1,012357	0,835999
1,046973	1,014527	1,008579	0,841768
1,036229	1,010446	1,004721	0,847225
1,026154	1,006307	1,000797	0,852369
1,016804	1,002124	0,996820	0,857177
1,008153	0,997913	0,992804	0,861663
1,000104	0,993686	0,988763	0,865868
0,992721	0,989454	0,984707	0,869768
0,985823	0,985230	0,980649	0,873442
0,979356	0,981020	0,976598	0,876911
0,973452	0,976832	0,972561	0,880124
0,968303	0,972675	0,968548	0,882999
0,963383	0,968564	0,964570	0,885761
0,958988	0,964499	0,960631	0,888286
0,955149	0,960487	0,956740	0,890562
0,951737	0,956539	0,952902	0,892644
0,948786	0,952659	0,949126	0,894521
0,946200	0,948854	0,945417	0,896232
0,944304	0,945126	0,941779	0,897642
0,942636	0,941489	0,938221	0,898949
0,941163	0,937940	0,934747	0,900166
0,940068	0,934481	0,931358	0,901216
0,939254	0,931115	0,928056	0,902141
0,938957	0,927845	0,924845	0,902844
0,938891	0,924679	0,921730	0,903445
0,939203	0,921615	0,918712	0,903884
0,939767	0,918659	0,915795	0,904214
0,940295	0,915810	0,912981	0,904557
0,941126	0,913064	0,910267	0,904770
0,942352	0,910423	0,907654	0,904816
0,943545	0,907893	0,905146	0,904875
0,945069	0,905467	0,902740	0,904795
0,946904	0,903150	0,900438	0,904584
0,948940	0,900945	0,898241	0,904290
0,950880	0,898849	0,896151	0,904038
0,952858	0,896858	0,894164	0,903772
0,955030	0,894968	0,892277	0,903425
0,957408	0,893182	0,890490	0,902994
0,959721	0,891499	0,888803	0,902593
0,962410	0,889914	0,887213	0,902035
0,965125	0,888434	0,885721	0,901470
0,967892	0,887053	0,884327	0,900887
0,970721	0,885769	0,883029	0,900280
0,973635	0,884581	0,881824	0,899642
0,976396	0,883487	0,880711	0,899072
0,979220	0,882480	0,879686	0,898479
0,982200	0,881561	0,878747	0,897823
0,985257	0,880728	0,877892	0,897139
0,988393	0,879982	0,877121	0,896426
0,991538	0,879320	0,876433	0,895712
0,994755	0,878741	0,875825	0,894974
